,Names_of_Sources_of_Water,County_Location,Parcel_Number,Diversion_Site_Name,Lat/Long_Coordinates,ApplID
0,UNNAMED STREAM,Marin,109-090-16,,38.094 ; -122.9371,UN000297
1,DELTA MENDOTA CANAL,Stanislaus,,905 Lindley well,37.32616 ; -121.10293,UN001154
2,MATTOLE RIVER,Mendocino,107-200-21,044-060-038,37.31875 ; -121.09601,D032762
3,BUCK MOUNTAIN CREEK,Humboldt,223-072-002,TRI-COLOR,39.340268 ; -123.228815,S026699
4,DEW DROP SPRING,Trinity,107-054-030,Reclamation District 2035,39.34016 ; -123.22928,D032695
