,Amount of groundwater used,Are you now using groundwater in lieu of surface water?,"I have data to support the above surface water use reductions due to
            the use of groundwater.",ApplID,Report_ID
0,,No,,F003764S,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=331642
1,"4
            Acre-Feet",,No,F003766S,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=337346
2,"8.6
            Acre-Feet",Yes,Yes,F003767S,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=332217
3,"5.8
            Acre-Feet", , ,F003768S,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=378300
4,"492
            Acre-Feet", , ,F003771S,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=332022
