,Amount directly diverted to storage (Acre-Feet),Amount directly diverted (Acre-Feet),Amount directly diverted (Gallons),Amount directly diverted or collected to storage (Acre-Feet),Amount directly diverted or collected to storage (Gallons),Amount directly diverted or collected to storage (Million Gallons),Amount diverted or collected to storage (Acre-Feet),Amount diverted or collected to storage (Gallons),Amount used (Acre-Feet),Amount used (Gallons),Amount used (Million Gallons),ApplID,Month,Report_ID
0,0,,,,,,,,0,,,C002380,January,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=329705
1,No Diversion, , , , , , , ,, , ,C000551,February,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=328533
2,"No more stock and no rain for 10 years and no run off
We will revoke the water rights", , , , , , , ,0.13, , ,C005563,March,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=374429
3,Pond fenced off from livestock and is now wildlife habitat., , , , , , , ,0.14, , ,C005562,April,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=337900
4,0.16, , , , , , , ,0.16, , ,C005566,May,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=375112
